subject,discipline,arxiv_overlap
Agricultural and Veterinary Sciences,Veterinary Sciences,0
Agricultural and Veterinary Sciences,,0
Agricultural and Veterinary Sciences,Crop and Pasture Production,0
Agricultural and Veterinary Sciences,Forestry Sciences,0
Agricultural and Veterinary Sciences,Horticultural Production,0
Agricultural and Veterinary Sciences,"Agriculture, Land and Farm Management",0
Agricultural and Veterinary Sciences,Fisheries Sciences,0
Agricultural and Veterinary Sciences,Animal Production,0
Agricultural and Veterinary Sciences,Other Agricultural and Veterinary Sciences,0
Biological Sciences,,1
Biological Sciences,Biochemistry and Cell Biology,1
Biological Sciences,Genetics,1
Biological Sciences,Plant Biology,1
Biological Sciences,Ecology,0
Biological Sciences,Zoology,0
Biological Sciences,Microbiology,1
Biological Sciences,Evolutionary Biology,1
Biological Sciences,Physiology,0
Biological Sciences,Other Biological Sciences,1
Built Environment and Design,Urban and Regional Planning,0
Built Environment and Design,Design Practice and Management,0
Built Environment and Design,Architecture,0
Built Environment and Design,,0
Built Environment and Design,Building,0
Built Environment and Design,Other Built Environment and Design,0
Chemical Sciences,Analytical Chemistry,0
Chemical Sciences,,0
Chemical Sciences,Physical Chemistry (incl. Structural),0
Chemical Sciences,Organic Chemistry,0
Chemical Sciences,Other Chemical Sciences,0
Chemical Sciences,Medicinal and Biomolecular Chemistry,0
Chemical Sciences,Macromolecular and Materials Chemistry,0
Chemical Sciences,Inorganic Chemistry,0
Chemical Sciences,Theoretical and Computational Chemistry,0
"Commerce, Management, Tourism and Services",Business and Management,0
"Commerce, Management, Tourism and Services","Banking, Finance and Investment",0
"Commerce, Management, Tourism and Services",Marketing,0
"Commerce, Management, Tourism and Services",,0
"Commerce, Management, Tourism and Services","Accounting, Auditing and Accountability",0
"Commerce, Management, Tourism and Services",Transportation and Freight Services,0
"Commerce, Management, Tourism and Services",Tourism,0
"Commerce, Management, Tourism and Services",Commercial Services,0
Earth Sciences,Physical Geography and Environmental Geoscience,0
Earth Sciences,Geophysics,1
Earth Sciences,Geology,0
Earth Sciences,Atmospheric Sciences,1
Earth Sciences,,0
Earth Sciences,Oceanography,0
Earth Sciences,Geochemistry,0
Earth Sciences,Other Earth Sciences,0
Economics,Applied Economics,1
Economics,Econometrics,1
Economics,,1
Economics,Economic Theory,1
Economics,Other Economics,1
Education,Specialist Studies In Education,0
Education,Curriculum and Pedagogy,0
Education,Education Systems,0
Education,,0
Education,Other Education,0
Engineering,Electrical and Electronic Engineering,1
Engineering,,1
Engineering,Biomedical Engineering,1
Engineering,Geomatic Engineering,1
Engineering,Mechanical Engineering,1
Engineering,Civil Engineering,1
Engineering,Materials Engineering,1
Engineering,Manufacturing Engineering,1
Engineering,Interdisciplinary Engineering,1
Engineering,Chemical Engineering,1
Engineering,Aerospace Engineering,1
Engineering,Resources Engineering and Extractive Metallurgy,1
Engineering,Food Sciences,1
Engineering,Maritime Engineering,1
Engineering,Environmental Engineering,1
Engineering,Other Engineering,1
Engineering,Automotive Engineering,1
Environmental Sciences,Environmental Science and Management,0
Environmental Sciences,,0
Environmental Sciences,Ecological Applications,0
Environmental Sciences,Soil Sciences,0
Environmental Sciences,Other Environmental Sciences,0
History and Archaeology,Historical Studies,0
History and Archaeology,Archaeology,0
History and Archaeology,Curatorial and Related Studies,0
History and Archaeology,,0
History and Archaeology,Other History and Archaeology,0
Information and Computing Sciences,Artificial Intelligence and Image Processing,1
Information and Computing Sciences,Information Systems,1
Information and Computing Sciences,Computation Theory and Mathematics,1
