country,eu,usa,china
Afghanistan,FALSE,FALSE,FALSE
Aland Islands,FALSE,FALSE,FALSE
Albania,FALSE,FALSE,FALSE
Algeria,FALSE,FALSE,FALSE
Andorra,FALSE,FALSE,FALSE
Angola,FALSE,FALSE,FALSE
Antigua and Barbuda,FALSE,FALSE,FALSE
Argentina,FALSE,FALSE,FALSE
Armenia,FALSE,FALSE,FALSE
Aruba,FALSE,FALSE,FALSE
Australia,FALSE,FALSE,FALSE
Austria,TRUE,FALSE,FALSE
Azerbaijan,FALSE,FALSE,FALSE
Bahamas,FALSE,FALSE,FALSE
Bahrain,FALSE,FALSE,FALSE
Bangladesh,FALSE,FALSE,FALSE
Barbados,FALSE,FALSE,FALSE
Belarus,FALSE,FALSE,FALSE
Belgium,TRUE,FALSE,FALSE
Belize,FALSE,FALSE,FALSE
Benin,FALSE,FALSE,FALSE
Bermuda,FALSE,FALSE,FALSE
Bhutan,FALSE,FALSE,FALSE
Bolivia,FALSE,FALSE,FALSE
Bosnia and Herzegovina,FALSE,FALSE,FALSE
Botswana,FALSE,FALSE,FALSE
Brazil,FALSE,FALSE,FALSE
Brunei,FALSE,FALSE,FALSE
Bulgaria,TRUE,FALSE,FALSE
Burkina Faso,FALSE,FALSE,FALSE
Burundi,FALSE,FALSE,FALSE
Cambodia,FALSE,FALSE,FALSE
Cameroon,FALSE,FALSE,FALSE
Canada,FALSE,FALSE,FALSE
Cape Verde,FALSE,FALSE,FALSE
Cayman Islands,FALSE,FALSE,FALSE
Central African Republic,FALSE,FALSE,FALSE
Chad,FALSE,FALSE,FALSE
Chile,FALSE,FALSE,FALSE
China,FALSE,FALSE,TRUE
Colombia,FALSE,FALSE,FALSE
Costa Rica,FALSE,FALSE,FALSE
Croatia,TRUE,FALSE,FALSE
Cuba,FALSE,FALSE,FALSE
Curacao,FALSE,FALSE,FALSE
Cyprus,TRUE,FALSE,FALSE
Czechia,TRUE,FALSE,FALSE
Democratic Republic of the Congo,FALSE,FALSE,FALSE
Denmark,TRUE,FALSE,FALSE
Djibouti,FALSE,FALSE,FALSE
Dominica,FALSE,FALSE,FALSE
Dominican Republic,FALSE,FALSE,FALSE
East Timor,FALSE,FALSE,FALSE
Ecuador,FALSE,FALSE,FALSE
Egypt,FALSE,FALSE,FALSE
El Salvador,FALSE,FALSE,FALSE
Equatorial Guinea,FALSE,FALSE,FALSE
Eritrea,FALSE,FALSE,FALSE
Estonia,TRUE,FALSE,FALSE
Ethiopia,FALSE,FALSE,FALSE
Faroe Islands,FALSE,FALSE,FALSE
Fiji,FALSE,FALSE,FALSE
Finland,TRUE,FALSE,FALSE
France,TRUE,FALSE,FALSE
French Guiana,FALSE,FALSE,FALSE
French Polynesia,FALSE,FALSE,FALSE
Gabon,FALSE,FALSE,FALSE
Gambia,FALSE,FALSE,FALSE
Georgia,FALSE,FALSE,FALSE
Germany,TRUE,FALSE,FALSE
Ghana,FALSE,FALSE,FALSE
Gibraltar,FALSE,FALSE,FALSE
Greece,TRUE,FALSE,FALSE
Greenland,FALSE,FALSE,FALSE
Grenada,FALSE,FALSE,FALSE
Guadeloupe,FALSE,FALSE,FALSE
Guatemala,FALSE,FALSE,FALSE
Guinea,FALSE,FALSE,FALSE
