year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.09578544061302682,0.2781841402531058,0.23452920004644143,0.08969445882962196,0.2513205592957017,0.2677887105126877,0.0653489310205728,0.27410246066962485,0.2599838644614764,0.12325634575806083,0.2323347816144523,0.2561170820946719,0.10881264715775311,0.21476622939791457,0.26286579212916245,0.09157448224236879,0.2750561423937453,0.23014222739748816,0.07531574423064206,0.2618528069827415,0.2736890828539311,825,2396,2020,1732,4853,5171,324,1359,1289,539,1016,1120,647,1277,1563,1101,3307,2767,1139,3960,4139
2011,0.09578713968957872,0.2772727272727273,0.2303769401330377,0.08941018122386195,0.25337691679084745,0.2663077440753737,0.07359226909496376,0.26909496376138264,0.26017468871956884,0.11339987258441282,0.2503716287959227,0.26014015714589084,0.12269288956127081,0.22072617246596066,0.2579425113464448,0.09534368070953436,0.2628286347798543,0.23139056065885333,0.07717750826901874,0.25909592061742004,0.2699987749601862,864,2501,2078,1860,5271,5540,396,1448,1400,534,1179,1225,811,1459,1705,1204,3319,2922,1260,4230,4408
2012,0.1087113774930247,0.2576211635837553,0.22889325204092179,0.1006825135325959,0.23967992468816193,0.26566250882560605,0.07222222222222222,0.2587037037037037,0.2625925925925926,0.1379784102060844,0.21609421000981355,0.2480863591756624,0.11889787361485475,0.21323749625636418,0.27373465109314166,0.10408560311284047,0.2545645016462137,0.23683029033223585,0.08398378411084892,0.2520723664306892,0.27070853754462393,1052,2493,2215,2139,5092,5644,390,1397,1418,703,1101,1264,794,1424,1828,1391,3402,3165,1388,4166,4474
2013,0.12474033039865466,0.24146799881293896,0.23009199723019091,0.11614455601314146,0.22858729350793577,0.26329184211744017,0.07659574468085106,0.2612395929694727,0.2529139685476411,0.16208287495416207,0.20168683535020168,0.23615694902823617,0.11850599446664617,0.2142637565324316,0.29019366738395325,0.123016157989228,0.24028725314183125,0.23274685816876123,0.09397024275646046,0.24016625504487682,0.2763086561050539,1261,2441,2326,2510,4940,5690,414,1412,1367,884,1100,1288,771,1394,1888,1713,3346,3241,1560,3987,4587
2014,0.14426260524075302,0.23819884589915807,0.2078327499763504,0.1373453853472883,0.22316841103710752,0.2527117031398668,0.07733743747595229,0.2581762216237014,0.2672181608310889,0.18940864960282436,0.18022947925860547,0.241306266548985,0.12491013659237958,0.22537742631200575,0.29618979151689434,0.14581734458940906,0.23323798227865764,0.2155864089862555,0.11466296038915914,0.24151873144228947,0.2614820898351128,1525,2518,2197,2887,4691,5312,402,1342,1389,1073,1021,1367,695,1254,1648,2090,3343,3090,1815,3823,4139
2015,0.1640478862701085,0.2328843995510662,0.19537972315750093,0.15254995526394274,0.222537031514067,0.2353613679292176,0.09022249438660951,0.2763829352929169,0.24331496223719126,0.21589914200665383,0.18245491157415514,0.21152162493433724,0.1229564816946811,0.24407091871977896,0.2954179138844117,0.16,0.22566433566433566,0.20643356643356645,0.11879325404824297,0.24437277430625545,0.24907612712490762,1754,2490,2089,3069,4477,4735,442,1354,1192,1233,1042,1208,534,1060,1283,2288,3227,2952,1768,3637,3707
2016,0.1946458449525934,0.22392638036809817,0.17744934002602714,0.18236099698712682,0.20794302930703917,0.21550260202684196,0.10091116173120729,0.23120728929384965,0.2325740318906606,0.24192059095106186,0.17045244690674052,0.192797783933518,0.137620793068977,0.23025658113962014,0.2692435854715095,0.1846919464498493,0.2194574893109974,0.1874956192612322,0.14838951310861423,0.22801498127340825,0.23123595505617978,2094,2409,1909,3329,3796,3934,443,1015,1021,1310,923,1044,413,691,808,2635,3131,2675,1981,3044,3087
2017,0.1962978198272316,0.21028383381324559,0.16478815302344715,0.19789615504197325,0.1962897709607213,0.19499429992745362,0.1012472487160675,0.23159696747370995,0.21178772315969674,0.24874731567644953,0.16088045812455262,0.17537580529706515,0.15587680703959775,0.22941546197360152,0.2664990571967316,0.19873595505617977,0.20684371807967314,0.1723697650663943,0.16279235089215896,0.22087154332835715,0.20949740527475652,2386,2556,2003,3819,3788,3763,414,947,866,1390,899,980,496,730,848,3113,3240,2700,2290,3107,2947
2018,0.2094257375702824,0.21163686903784193,0.15433697643565608,0.2108954565505073,0.19033965593295105,0.1709307454786061,0.13503155996393146,0.21055004508566275,0.17876465284039675,0.27348066298342544,0.15331491712707182,0.15300798035604665,0.17593643586833144,0.2108399545970488,0.24602724177071508,0.21103896103896103,0.205988455988456,0.16037930323644609,0.17655147674279564,0.20853760612220495,0.18229104388377376,3315,3350,2443,4781,4315,3875,599,934,793,1782,999,997,620,743,867,4095,3997,3112,2953,3488,3049
2019,0.21961462450592886,0.20113636363636364,0.154298418972332,0.22742408626020771,0.1903195116150004,0.16784270197415366,0.13864067154075277,0.24803682642837802,0.18873544543731383,0.29435802794621674,0.1399947271289217,0.14895860796203533,0.19924154025670945,0.19311551925320886,0.2459159859976663,0.21871380153588743,0.1962761165215153,0.16285554935861685,0.19353589019868284,0.21334882948696662,0.17848248381205378,4445,4071,3123,5737,4801,4234,512,916,697,2233,1062,1130,683,662,843,5098,4575,3796,3497,3855,3225
2020,0.23492063492063492,0.17287157287157287,0.15584415584415584,0.25250716332378226,0.15365329512893983,0.1876790830945559,0.12206572769953052,0.23943661971830985,0.215962441314554,0.366120218579235,0.10601092896174863,0.13005464480874318,0.20161290322580644,0.19623655913978494,0.23655913978494625,0.21631205673758866,0.16698903932946485,0.17472598323662153,0.20687910976226606,0.17147192716236723,0.20435002529084473,814,599,540,705,429,524,26,51,46,335,97,119,75,73,88,671,518,542,409,339,404
