year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_subject_count,us_subject_count,eu_subject_count,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.06607929515418502,0.35934550031466334,0.20956576463184393,0.06674528301886792,0.3481132075471698,0.2349056603773585,0.03160112359550562,0.4122191011235955,0.1797752808988764,0.09716157205240175,0.3318777292576419,0.25655021834061137,0.04716227018385292,0.36930455635491605,0.25499600319744203,0.07941579187585578,0.34367868553172065,0.20812414422638065,262,748,580,0.05275429903818129,0.36403380938501895,0.22325852521130865,105,571,333,283,1476,996,45,587,256,89,304,235,59,462,319,174,753,456,181,1249,766
2011,0.08024316109422493,0.3495440729483283,0.19878419452887539,0.07661380388653116,0.3480008934554389,0.2224704042885861,0.035824583075972825,0.37986411365040146,0.20197652872143299,0.09435897435897436,0.3446153846153846,0.2246153846153846,0.0539593552908199,0.36790469516468116,0.2592852137351086,0.08207993124194242,0.3137086377309841,0.21143102707348518,264,789,545,0.06393309954140815,0.3496088481251686,0.2217426490423523,132,575,327,343,1558,996,58,615,327,92,336,219,77,525,370,191,730,492,237,1296,822
2012,0.09070294784580499,0.31746031746031744,0.20521541950113378,0.08506906380179785,0.31922823942117956,0.22802017101512825,0.032849020846494,0.3569172457359444,0.21351863550221098,0.13212927756653992,0.3070342205323194,0.2224334600760456,0.05172413793103448,0.3489655172413793,0.26689655172413795,0.09446254071661238,0.30985342019543977,0.20358306188925082,309,768,617,0.064464141821112,0.3341391351060972,0.23019070641955414,160,560,362,388,1456,1040,52,565,338,139,323,234,75,506,387,232,761,500,240,1244,857
2013,0.11865312667022983,0.28861571352218063,0.20309994655264565,0.09707678883071554,0.30475567190226877,0.218804537521815,0.034482758620689655,0.36845466155810985,0.1979565772669221,0.13743218806509946,0.30018083182640143,0.19349005424954793,0.07359009628610728,0.3459422283356259,0.265474552957359,0.11635220125786164,0.29245283018867924,0.18867924528301888,363,739,567,0.07785234899328859,0.31328859060402686,0.23140939597315435,222,540,380,445,1397,1003,54,577,310,152,332,214,107,503,386,296,744,480,290,1167,862
2014,0.14064914992272023,0.29417825862957236,0.15558990211231324,0.1287084541601606,0.29399955387017623,0.2003122908766451,0.04144385026737968,0.3649732620320856,0.19184491978609625,0.1775618374558304,0.25265017667844525,0.196113074204947,0.0872093023255814,0.3338870431893688,0.24833887043189368,0.13813813813813813,0.2759009009009009,0.17605105105105104,508,697,530,0.09564719358533791,0.3215922107674685,0.20990836197021764,273,571,302,577,1318,898,62,546,287,201,286,222,105,402,299,368,735,469,334,1123,733
2015,0.16905737704918034,0.26690573770491804,0.14907786885245902,0.1517094017094017,0.2765906932573599,0.1825735992402659,0.061448427212874905,0.3635698610095099,0.18873445501097294,0.20140105078809106,0.23905429071803852,0.15761821366024517,0.10304942166140904,0.323869610935857,0.25341745531019977,0.16416762783544792,0.26528258362168394,0.16762783544790466,604,712,525,0.1104542626011201,0.3061605476042315,0.19383945239576852,330,521,291,639,1165,769,84,497,258,230,273,180,98,308,241,427,690,436,355,984,623
2016,0.1897590361445783,0.24899598393574296,0.13102409638554216,0.17654808959156784,0.25296442687747034,0.1715415019762846,0.08500400962309543,0.3231756214915798,0.18765036086607859,0.2184873949579832,0.21942110177404295,0.16339869281045752,0.14637904468412943,0.275808936825886,0.22033898305084745,0.18649885583524028,0.2509534706331045,0.14378337147215867,730,667,482,0.14320054945054944,0.2822802197802198,0.18475274725274726,378,496,261,670,960,651,106,403,234,234,235,175,95,179,143,489,658,377,417,822,538
2017,0.19911894273127753,0.23083700440528634,0.11629955947136564,0.19652440582673142,0.23843598262202914,0.13774597495527727,0.0763888888888889,0.2951388888888889,0.1605902777777778,0.23090745732255166,0.20664869721473494,0.1293800539083558,0.14513788098693758,0.26850507982583455,0.21480406386066764,0.21123363197794626,0.23569951757408683,0.12439696760854584,877,649,464,0.15939652345031158,0.25746146277468024,0.15611675959330928,452,524,264,769,933,539,88,340,185,257,230,144,100,185,148,613,684,361,486,785,476
2018,0.20514533912462413,0.2579351820915469,0.12362178416304712,0.2157941047074351,0.23427188737351518,0.13858336999560053,0.1030008110300081,0.2871046228710462,0.15896188158961883,0.26339969372128635,0.20367534456355282,0.14931087289433384,0.17997293640054127,0.2530446549391069,0.22056833558863329,0.21693828479829014,0.24312049158429067,0.1285065455516965,1142,671,496,0.1848393298544356,0.25569898379566053,0.13952210931062894,614,772,370,981,1065,630,127,354,196,344,266,195,133,187,163,812,910,481,673,931,508
2019,0.23504831548707233,0.21833376860799164,0.1321493862627318,0.22486915719184264,0.2218011189316008,0.14546110810323046,0.10980720871751885,0.3193629505448449,0.1785414920368818,0.27113133940182055,0.18335500650195058,0.13394018205461639,0.17491749174917492,0.23982398239823982,0.21672167216721672,0.23349436392914655,0.20330112721417068,0.13788244766505636,1271,707,578,0.19911273486430062,0.24164926931106473,0.15318371607515657,900,836,506,1246,1229,806,131,381,213,417,282,206,159,218,197,1160,1010,685,763,926,587
2020,0.26765375854214124,0.1788154897494305,0.15375854214123008,0.291350531107739,0.16843702579666162,0.13960546282245828,0.10434782608695652,0.40869565217391307,0.1391304347826087,0.38421052631578945,0.14210526315789473,0.10526315789473684,0.25555555555555554,0.32222222222222224,0.1,0.28414442700156983,0.15698587127158556,0.15384615384615385,261,87,141,0.24791666666666667,0.18125,0.15625,235,157,135,192,111,92,12,47,16,73,27,20,23,29,9,181,100,98,119,87,75
