year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share
2010,0.06385696040868455,0.37292464878671777,0.20561941251596424,0.059558117195004805,0.3712776176753122,0.21757925072046108,0.019746121297602257,0.43723554301833567,0.1692524682651622,0.07658643326039387,0.34573304157549234,0.2538293216630197,0.04823151125401929,0.3842443729903537,0.2459807073954984,0.08142726440988106,0.3677950594693504,0.19304666056724612,0.047759433962264154,0.3915094339622642,0.19929245283018868
2011,0.07195121951219512,0.3780487804878049,0.17682926829268292,0.0625,0.3862410071942446,0.20008992805755396,0.04040404040404041,0.40025252525252525,0.20202020202020202,0.08247422680412371,0.3958762886597938,0.18144329896907216,0.05218617771509168,0.4146685472496474,0.2397743300423131,0.07317073170731707,0.33797909407665505,0.18554006968641115,0.05626034197462769,0.39327082184225043,0.20187534473248758
2012,0.09328782707622298,0.33560864618885095,0.18657565415244595,0.07539682539682539,0.3425925925925926,0.20634920634920634,0.030612244897959183,0.3826530612244898,0.20535714285714285,0.1147227533460803,0.32122370936902483,0.2198852772466539,0.05131761442441054,0.3522884882108183,0.260748959778086,0.09390444810543658,0.3344316309719934,0.18451400329489293,0.05139420448332422,0.34554401312192456,0.22033898305084745
2013,0.10554951033732318,0.3307943416757345,0.18498367791077258,0.10039456378781236,0.3261727312582201,0.1999123191582639,0.02610966057441253,0.41906005221932113,0.1462140992167102,0.11956521739130435,0.3188405797101449,0.18297101449275363,0.06231884057971015,0.372463768115942,0.26956521739130435,0.108300395256917,0.3233201581027668,0.16284584980237155,0.0787011557512383,0.3384700055035773,0.2085855806274078
2014,0.1279916753381894,0.31633714880332986,0.13631633714880334,0.12347354138398914,0.3093622795115332,0.18995929443690637,0.03851444291609354,0.38376891334250346,0.17606602475928473,0.16784452296819788,0.29328621908127206,0.18021201413427562,0.0667779632721202,0.3656093489148581,0.2387312186978297,0.13123561013046814,0.2900997697620875,0.15425940138142746,0.0934795152914022,0.3346797461050202,0.18753606462781305
2015,0.15329218106995884,0.3045267489711934,0.12037037037037036,0.136669874879692,0.307507218479307,0.16265640038498555,0.07164179104477612,0.3656716417910448,0.17313432835820897,0.1781305114638448,0.26807760141093473,0.13580246913580246,0.1,0.34347826086956523,0.2391304347826087,0.15461538461538463,0.3069230769230769,0.14,0.0975609756097561,0.3320825515947467,0.1794871794871795
2016,0.147239263803681,0.32413087934560325,0.1196319018404908,0.15133689839572192,0.3064171122994652,0.13903743315508021,0.10613598673300166,0.3283582089552239,0.1558872305140962,0.1792452830188679,0.30377358490566037,0.1320754716981132,0.12341772151898735,0.310126582278481,0.20569620253164558,0.15882806476484193,0.31225905936777176,0.11873554356206631,0.12570224719101122,0.33286516853932585,0.14676966292134833
2017,0.1420814479638009,0.3067873303167421,0.1085972850678733,0.1618556701030928,0.30051546391752576,0.10979381443298969,0.061930783242258654,0.31693989071038253,0.12021857923497267,0.13394495412844037,0.30091743119266057,0.11926605504587157,0.16363636363636364,0.3151515151515151,0.1787878787878788,0.17134831460674158,0.29775280898876405,0.10603932584269662,0.1466575716234652,0.3321964529331514,0.1077762619372442
2018,0.1744266851980542,0.3238359972202919,0.10910354412786658,0.18796992481203006,0.30030959752321984,0.1167624944714728,0.09464285714285714,0.34285714285714286,0.13214285714285715,0.2251968503937008,0.28346456692913385,0.12598425196850394,0.15977961432506887,0.2809917355371901,0.2066115702479339,0.19727891156462585,0.2981859410430839,0.11281179138321995,0.17058823529411765,0.3135294117647059,0.11294117647058824
2019,0.2266304347826087,0.23152173913043478,0.1266304347826087,0.217663149667839,0.2360296991012114,0.14028917545916372,0.08256880733944955,0.3669724770642202,0.15412844036697249,0.2717536813922356,0.19544846050870146,0.11780455153949129,0.19667590027700832,0.2409972299168975,0.19113573407202217,0.23124115148655025,0.21802737140160453,0.12458706937234544,0.1907790143084261,0.2570217276099629,0.1483836777954425
2020,0.3111111111111111,0.20952380952380953,0.15873015873015872,0.2786885245901639,0.2,0.16393442622950818,0.125,0.425,0.15,0.2978723404255319,0.20212765957446807,0.1702127659574468,0.19047619047619047,0.3333333333333333,0.11904761904761904,0.2695035460992908,0.18085106382978725,0.16666666666666666,0.26244343891402716,0.2081447963800905,0.167420814479638
