year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.06385696040868455,0.37292464878671777,0.20689655172413793,0.0670299727520436,0.3580381471389646,0.22670299727520435,0.024774774774774775,0.45045045045045046,0.1981981981981982,0.08158508158508158,0.3473193473193473,0.24242424242424243,0.0546875,0.3515625,0.267578125,0.08051235132662397,0.36688014638609334,0.19579139981701738,0.054775280898876406,0.3728932584269663,0.2127808988764045,50,292,162,123,657,416,11,200,88,35,149,104,28,180,137,88,401,214,78,531,303
2011,0.07073170731707316,0.374390243902439,0.17926829268292682,0.0700507614213198,0.38274111675126904,0.19796954314720813,0.05046728971962617,0.41869158878504675,0.21869158878504674,0.08798283261802575,0.3948497854077253,0.1781115879828326,0.05830388692579505,0.3833922261484099,0.2667844522968198,0.0740418118466899,0.33885017421602787,0.18728222996515678,0.06424399740428294,0.3770279039584685,0.2063595068137573,58,307,147,138,754,390,27,224,117,41,184,83,33,217,151,85,389,215,99,581,318
2012,0.09215017064846416,0.3333333333333333,0.18771331058020477,0.08316831683168317,0.33712871287128715,0.20594059405940593,0.039473684210526314,0.38533834586466165,0.22932330827067668,0.12096774193548387,0.33064516129032256,0.2157258064516129,0.05792163543441227,0.30664395229982966,0.272572402044293,0.09225700164744646,0.33360790774299837,0.18451400329489293,0.05848329048843188,0.3412596401028278,0.22043701799485863,81,293,165,168,681,416,21,205,122,60,164,107,34,180,160,112,405,224,91,531,343
2013,0.10554951033732318,0.33188248095756256,0.18498367791077258,0.11138370951913641,0.31648675171736995,0.20215897939156036,0.026365348399246705,0.4369114877589454,0.1657250470809793,0.12790697674418605,0.31589147286821706,0.18410852713178294,0.06747404844290658,0.3391003460207612,0.28546712802768165,0.10592885375494071,0.3264822134387352,0.16205533596837945,0.08996763754045307,0.3294498381877023,0.21877022653721684,97,305,170,227,645,412,14,232,88,66,163,95,39,196,165,134,413,205,139,509,338
2014,0.12695109261186263,0.3142559833506764,0.14151925078043703,0.13105835806132543,0.29920870425321466,0.19090009891196835,0.05048543689320388,0.38058252427184464,0.1883495145631068,0.17375231053604437,0.2809611829944547,0.18299445471349354,0.07312252964426877,0.3438735177865613,0.2549407114624506,0.13200306983883345,0.2924021488871834,0.15349194167306215,0.10158311345646438,0.3232189973614776,0.195910290237467,122,302,136,265,605,386,26,196,97,94,152,99,37,174,129,172,381,200,154,490,297
2015,0.14917695473251028,0.30349794238683125,0.1183127572016461,0.15010351966873706,0.3022774327122153,0.15579710144927536,0.08614232209737828,0.3707865168539326,0.16853932584269662,0.18148820326678766,0.27223230490018147,0.12704174228675136,0.11166253101736973,0.3349875930521092,0.24069478908188585,0.15076923076923077,0.3069230769230769,0.14,0.10860366713681241,0.32792665726375175,0.1755994358251058,145,295,115,290,584,301,46,198,90,100,150,70,45,135,97,196,399,182,154,465,249
2016,0.147239263803681,0.32413087934560325,0.1165644171779141,0.15954415954415954,0.2985754985754986,0.1361823361823362,0.12704918032786885,0.32786885245901637,0.13319672131147542,0.1833976833976834,0.30115830115830117,0.13127413127413126,0.12014134275618374,0.30742049469964666,0.21201413427561838,0.15343099460292983,0.3145720894371627,0.1164225134926754,0.13532651455546812,0.31785995279307633,0.14398111723052714,144,317,114,280,524,239,62,160,65,95,156,68,34,87,60,199,408,151,172,404,183
2017,0.13755656108597286,0.3085972850678733,0.11040723981900452,0.16028062601187265,0.29735563950350785,0.11386940097139774,0.07252747252747253,0.3010989010989011,0.11648351648351649,0.13610586011342155,0.30434782608695654,0.11909262759924386,0.16993464052287582,0.32679738562091504,0.15359477124183007,0.16924157303370788,0.3012640449438202,0.10955056179775281,0.1535635562086701,0.3299044819985305,0.10286554004408523,152,341,122,297,551,211,33,137,53,72,161,63,52,100,47,241,429,156,209,449,140
2018,0.1744266851980542,0.320361362056984,0.113273106323836,0.19375873311597577,0.29809035863996275,0.11178388448998602,0.11158798283261803,0.33261802575107297,0.11373390557939914,0.22276422764227644,0.2926829268292683,0.11869918699186992,0.1565217391304348,0.2985507246376812,0.2144927536231884,0.1921768707482993,0.30272108843537415,0.10770975056689343,0.16740088105726872,0.3115166771554437,0.11327879169288861,251,461,163,416,640,240,52,155,53,137,180,73,54,103,74,339,534,190,266,495,180
2019,0.22445652173913044,0.23858695652173914,0.125,0.23212045169385195,0.24132162275198663,0.12839815976578836,0.09978308026030369,0.39045553145336226,0.10629067245119306,0.28939828080229224,0.19197707736389685,0.11031518624641834,0.21296296296296297,0.23765432098765432,0.19444444444444445,0.2241623407267579,0.22652194431335534,0.12081170363378953,0.19747416762342135,0.2726750861079219,0.13375430539609645,413,439,230,555,577,307,46,180,49,202,134,77,69,77,63,475,480,256,344,475,233
