year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.07790549169859515,0.36015325670498083,0.22860791826309068,0.10200573065902578,0.29054441260744984,0.2504297994269341,0.023054755043227664,0.38328530259365995,0.2824207492795389,0.10843373493975904,0.3132530120481928,0.2674698795180723,0.072,0.306,0.272,0.10338517840805124,0.33394327538883806,0.20585544373284537,0.09159727479182438,0.2906888720666162,0.24753974261922787,61,282,179,178,507,437,8,133,98,45,130,111,36,153,136,113,365,225,121,384,327
2011,0.1048780487804878,0.3280487804878049,0.21707317073170732,0.11467648605996844,0.29563387690689114,0.24618621778011573,0.037296037296037296,0.3752913752913753,0.28205128205128205,0.12612612612612611,0.30180180180180183,0.21846846846846846,0.081374321880651,0.3037974683544304,0.30198915009041594,0.10278745644599303,0.2926829268292683,0.21341463414634146,0.10461114934618032,0.29112181693048866,0.2401927047487956,86,269,178,218,562,468,16,161,121,56,134,97,45,168,167,118,336,245,152,423,349
2012,0.1296928327645051,0.2935153583617747,0.21046643913538113,0.1281661600810537,0.25886524822695034,0.24417426545086118,0.03755868544600939,0.3286384976525822,0.2887323943661972,0.16942148760330578,0.2644628099173554,0.22107438016528927,0.0763888888888889,0.2690972222222222,0.2881944444444444,0.12767710049423395,0.2833607907742998,0.20675453047775946,0.09898989898989899,0.2713804713804714,0.25117845117845117,114,258,185,253,511,482,16,140,123,82,128,107,44,155,166,155,344,251,147,403,373
2013,0.15560391730141457,0.27421109902067464,0.19368879216539717,0.1598605577689243,0.24750996015936255,0.22559760956175298,0.03619909502262444,0.3733031674208145,0.28054298642533937,0.18271119842829076,0.2730844793713163,0.18860510805500982,0.09911504424778761,0.30619469026548674,0.2831858407079646,0.1509881422924901,0.2845849802371542,0.17312252964426877,0.1358515573227303,0.2392312789927104,0.25579854208084823,143,252,178,321,497,453,16,165,124,93,139,96,56,173,160,191,360,219,205,361,386
2014,0.186264308012487,0.2601456815816857,0.15608740894901144,0.18585858585858586,0.22272727272727272,0.21767676767676766,0.06741573033707865,0.3101123595505618,0.2943820224719101,0.2224334600760456,0.19771863117870722,0.20152091254752852,0.11741682974559686,0.2896281800391389,0.25244618395303325,0.17114351496546432,0.24405218726016883,0.17267843438219493,0.14632501685772084,0.24005394470667565,0.24409979770734996,179,250,150,368,441,431,30,138,131,117,104,106,60,148,129,223,318,225,217,356,362
2015,0.22325102880658437,0.2366255144032922,0.15946502057613168,0.2170212765957447,0.20053191489361702,0.2026595744680851,0.06839622641509434,0.33490566037735847,0.25943396226415094,0.27204502814258913,0.18386491557223264,0.1651031894934334,0.16953316953316952,0.26044226044226043,0.2800982800982801,0.2023076923076923,0.22923076923076924,0.17923076923076922,0.16439339554917445,0.23115577889447236,0.22828427853553482,217,230,155,408,377,381,29,142,110,145,98,88,69,106,114,263,298,233,229,322,318
2016,0.25971370143149286,0.20449897750511248,0.14621676891615543,0.24940758293838863,0.1901658767772512,0.1872037914691943,0.1284153005464481,0.28415300546448086,0.2459016393442623,0.2975708502024291,0.1680161943319838,0.17813765182186234,0.2147887323943662,0.24295774647887325,0.21830985915492956,0.24826522744795682,0.2112567463377024,0.15188897455666925,0.20772946859903382,0.2109500805152979,0.1964573268921095,254,200,143,421,321,316,47,104,90,147,83,88,61,69,62,322,274,197,258,262,244
2017,0.3158371040723982,0.19366515837104073,0.10950226244343891,0.3081232492997199,0.18935574229691876,0.13837535014005603,0.09776536312849161,0.31843575418994413,0.2346368715083799,0.3675889328063241,0.16600790513833993,0.1067193675889328,0.23255813953488372,0.2026578073089701,0.21262458471760798,0.3146067415730337,0.19030898876404495,0.11376404494382023,0.26083650190114066,0.20456273764258556,0.16425855513307985,349,214,121,550,338,247,35,114,84,186,84,54,70,61,64,448,271,162,343,269,216
2018,0.31480194579569143,0.19457956914523974,0.11813759555246699,0.3506112469437653,0.14865525672371638,0.1432762836185819,0.16901408450704225,0.24225352112676057,0.21971830985915494,0.36597938144329895,0.13573883161512026,0.13402061855670103,0.29393939393939394,0.19090909090909092,0.17575757575757575,0.322562358276644,0.18197278911564627,0.1235827664399093,0.3242885506287227,0.16479152878888154,0.1469225678358703,453,280,170,717,304,293,60,86,78,213,79,78,97,63,58,569,321,218,490,249,222
2019,0.30434782608695654,0.1375,0.1483695652173913,0.3360107095046854,0.12985274431057564,0.1575189647478804,0.16897506925207756,0.19390581717451524,0.24930747922437674,0.3870967741935484,0.09984639016897082,0.1443932411674347,0.30293159609120524,0.14332247557003258,0.21172638436482086,0.30957999056158564,0.1420481359131666,0.13827277017461068,0.30694864048338366,0.14441087613293052,0.17220543806646527,560,253,273,753,291,353,61,70,90,252,65,94,93,44,65,656,301,293,508,239,285
