pubyear,china_keyword_share,us_keyword_share,eu_keyword_share,both_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,both_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,both_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,both_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,both_scibert_ro_share,china_subject_share,us_subject_share,eu_subject_share,both_subject_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,both_elsevier_share
2010,0.12537741919516904,0.23224273622729297,0.25812998069593623,0.01905657575607583,0.11765579369400585,0.22011582438251745,0.3002524377567688,0.01697767658268574,0.07761154154421587,0.1902217472615549,0.374165108201977,0.0038738979428266096,0.22858650407457348,0.16052060737527116,0.25279943718121595,0.016825936565632877,0.12031708111629927,0.1936149419046585,0.2953632316212401,0.003257682701704854,0.13057466712864427,0.14522595654110776,0.32579319902984705,0.01291887343463842,0.30479508876721423,0.0862784138045462,0.28886676621868257,0.005309440849510536
2011,0.1296460383341883,0.2259478617730728,0.25388238586018747,0.022105115888634987,0.12097187893485054,0.21643426759315396,0.29944504033950475,0.019306999953364733,0.09842690142877761,0.19252417376244768,0.35748304228604416,0.007071727522008948,0.2393029490616622,0.15544235924932975,0.25249329758713135,0.01737265415549598,0.17474935882490092,0.2031942177663791,0.26696199580321756,0.005012823501981814,0.14550202863405307,0.14643473394580983,0.2934290910786737,0.021032504780114723,0.2912801484230056,0.09777365491651206,0.25250463821892394,0.005194805194805195
2012,0.13772739029226658,0.2127769635313389,0.25101301836365203,0.026295370290542287,0.13936546253987414,0.20062074316751444,0.2834296060005173,0.021682903698594706,0.10895671753815361,0.17500625469101827,0.34225669251938956,0.0051288466349762325,0.26397937024972856,0.13635541078537822,0.2186482084690554,0.019634455302207744,0.17569992821249103,0.18395549174443646,0.2396805455850682,0.007178750897343862,0.15561686352271747,0.15009914647814468,0.29299939649969825,0.023881369083541684,0.23145631067961164,0.12349514563106796,0.24,0.006601941747572815
2013,0.14959529972472163,0.20230905131681662,0.2508730843502198,0.02834956243066683,0.15489543530958544,0.1906816220880069,0.28135913554377745,0.02695262747031513,0.11112553550564715,0.1738283785538102,0.33337660651694145,0.008178631701934311,0.260692715395045,0.12777846254981717,0.21015653888820413,0.02296725420107646,0.1777868517762352,0.16382196815026542,0.2550428746427113,0.00792160065332789,0.16019557089444925,0.13570812276593122,0.3021488146595998,0.026500677924318993,0.24694024478041757,0.11183105351571875,0.2351811855051596,0.010319174466042717
2014,0.17928902627511592,0.1937403400309119,0.22886398763523957,0.03446676970633694,0.1821097372488408,0.1846213292117465,0.26812210200927356,0.032496136012364764,0.12331129634952573,0.1564625850340136,0.3207818338603047,0.010156175146114783,0.27909582689335394,0.11719474497681608,0.2045981452859351,0.02519319938176198,0.18842051802945659,0.1679605310890227,0.25611260248131756,0.009359355728070812,0.1794049459041731,0.14146058732612055,0.2952859350850077,0.028323029366306027,0.2918266593527153,0.11354909489851893,0.1948710916072408,0.013576522216127263
2015,0.19512532890181417,0.19886442321008171,0.2189101232516272,0.034275031159119236,0.18788948899044453,0.18709320038775792,0.2577551585652957,0.03437889488990444,0.13409898372304388,0.15202842270511444,0.30232173841196397,0.011154259274560027,0.266825924387204,0.11203434427364631,0.2024304113003739,0.028735632183908046,0.18175587691042425,0.1546158590912206,0.2567336029059009,0.010348845178534714,0.19245949314499378,0.15413377648525134,0.2720883534136546,0.03548677468494668,0.28391676076786576,0.09033715115341184,0.20454912082593968,0.012421358283594128
2016,0.2182804537234917,0.1936215683051126,0.20867992766726945,0.03919118855827716,0.21482820976491862,0.17613019891500903,0.24109814236396515,0.03751438434982739,0.15627796003578884,0.14315538323889054,0.2910826125857441,0.01349537727408291,0.2959066250205491,0.10327141213217163,0.18599375308236069,0.028538550057537398,0.20379830518660977,0.15956487769697697,0.24670953783280244,0.011298755934851855,0.2088443202367253,0.13404570113430872,0.26865033700476737,0.03245109321058688,0.29705705705705704,0.10558558558558559,0.18054054054054053,0.013693693693693694
2017,0.2375198223913733,0.1932128131937837,0.190104662226451,0.051157627656200445,0.24018395179194418,0.1742150333016175,0.22099587694259434,0.046114811290834126,0.15800168161434977,0.14566984304932734,0.2743133408071749,0.010930493273542601,0.3045987947986045,0.10672375515382175,0.17243894703457024,0.034506818902632415,0.20787654909437558,0.15026215443279314,0.2367135367016206,0.011677788369876072,0.23688550586742785,0.13932762448461783,0.23076435141135426,0.04078655248969236,0.26744186046511625,0.12691544979268074,0.16810888768703805,0.019830539030106363
2018,0.2697364052851736,0.1853794568753735,0.17588473540933536,0.056403957240555073,0.28391209083062213,0.1582232255494323,0.1933802536352168,0.050727043357014806,0.1554730983302412,0.14730983302411874,0.27087198515769945,0.016178107606679034,0.3465905318371954,0.10387756457074564,0.1540070380452825,0.04139831352499834,0.23064612922584518,0.15063012602520504,0.24018136960725478,0.015736480629459225,0.27949671336564635,0.12014474470486687,0.20642719606931811,0.04176349511984596,0.2631616190206623,0.12998867817718654,0.15850551938862156,0.027738465893008775
2019,0.29662310584906365,0.16482370899884582,0.16035593283443167,0.05800662720131055,0.3109572210432257,0.13965523660597937,0.1787110465765665,0.046688260918128,0.1545088491431782,0.16705684052813935,0.26313325217717015,0.02116303024627774,0.38343335499407516,0.09510339818814266,0.1375329689232063,0.04476128588356714,0.2341481013799946,0.16731306936051232,0.2233246144132768,0.02200775683232615,0.28630998920287426,0.10648199858520421,0.18437022971815778,0.04088015190438959,0.31120813529346747,0.13932795401790649,0.13689620868796287,0.031115286835415056
