year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.07551487414187644,0.40045766590389015,0.21967963386727687,0.08411214953271028,0.3644859813084112,0.22429906542056074,0.0,0.46236559139784944,0.3010752688172043,0.09243697478991597,0.36134453781512604,0.27310924369747897,0.047619047619047616,0.38095238095238093,0.2698412698412698,0.09933774834437085,0.3841059602649007,0.19701986754966888,0.07293666026871401,0.3666026871401152,0.21497120921305182,33,175,96,63,273,168,0,43,28,22,86,65,6,48,34,60,232,119,38,191,112
2011,0.08695652173913043,0.35,0.20434782608695654,0.09090909090909091,0.37752525252525254,0.20833333333333334,0.057692307692307696,0.40384615384615385,0.25,0.09230769230769231,0.40384615384615385,0.18846153846153846,0.037037037037037035,0.43703703703703706,0.26666666666666666,0.08450704225352113,0.3161189358372457,0.2190923317683881,0.0865561694290976,0.3812154696132597,0.21731123388581952,40,161,94,72,299,165,6,42,26,24,105,49,5,59,36,54,202,140,47,207,118
2012,0.09839357429718876,0.3353413654618474,0.20080321285140562,0.09753231492361927,0.318448883666275,0.21739130434782608,0.05042016806722689,0.35294117647058826,0.3025210084033613,0.10320284697508897,0.3487544483985765,0.20284697508896798,0.06293706293706294,0.27972027972027974,0.25874125874125875,0.11046511627906977,0.3372093023255814,0.2005813953488372,0.06354515050167224,0.32274247491638797,0.22240802675585283,49,167,100,83,271,185,6,42,36,29,98,57,9,40,37,76,232,138,38,193,133
2013,0.12313432835820895,0.32276119402985076,0.20522388059701493,0.13260869565217392,0.3010869565217391,0.2184782608695652,0.04878048780487805,0.43902439024390244,0.2032520325203252,0.14144736842105263,0.3026315789473684,0.16447368421052633,0.05454545454545454,0.32727272727272727,0.296969696969697,0.12211668928086838,0.33649932157394846,0.1587516960651289,0.12420382165605096,0.28343949044585987,0.24681528662420382,66,173,110,122,277,201,6,54,25,43,92,50,9,54,49,90,248,117,78,178,155
2014,0.15897435897435896,0.294017094017094,0.14871794871794872,0.16650049850448653,0.24925224327018944,0.193419740777667,0.06060606060606061,0.3712121212121212,0.26515151515151514,0.19631901840490798,0.21779141104294478,0.20552147239263804,0.06989247311827956,0.3279569892473118,0.26881720430107525,0.15006305170239598,0.27616645649432536,0.1424968474148802,0.13131313131313133,0.2727272727272727,0.19336219336219337,93,172,87,167,250,194,8,49,35,64,71,67,13,61,50,119,219,113,91,189,134
2015,0.18670886075949367,0.2626582278481013,0.15664556962025317,0.1869070208728653,0.2504743833017078,0.19165085388994307,0.04242424242424243,0.3393939393939394,0.2727272727272727,0.23512747875354106,0.23512747875354106,0.1501416430594901,0.08839779005524862,0.27624309392265195,0.292817679558011,0.1907032181168057,0.2729439809296782,0.16805721096543505,0.12517193947730398,0.2737276478679505,0.218707015130674,118,166,99,197,264,202,7,56,45,83,83,53,16,50,53,160,229,141,91,199,159
2016,0.2217573221757322,0.2510460251046025,0.1492329149232915,0.21604938271604937,0.24074074074074073,0.1746031746031746,0.14619883040935672,0.3216374269005848,0.2222222222222222,0.2682926829268293,0.20596205962059622,0.16531165311653118,0.1568627450980392,0.28921568627450983,0.2107843137254902,0.21428571428571427,0.255863539445629,0.14712153518123666,0.17916137229987295,0.2554002541296061,0.18678526048284624,159,180,107,245,273,198,25,55,38,99,76,61,32,59,43,201,240,138,141,201,147
2017,0.2576966932725199,0.23831242873432154,0.11060433295324971,0.2804232804232804,0.21239606953892667,0.13151927437641722,0.09326424870466321,0.2849740932642487,0.20725388601036268,0.29256594724220625,0.19664268585131894,0.11990407673860912,0.2320675105485232,0.24472573839662448,0.22362869198312235,0.27041742286751363,0.2295825771324864,0.11433756805807622,0.26282051282051283,0.22435897435897437,0.15064102564102563,226,209,97,371,281,174,18,55,40,122,82,50,55,58,53,298,253,126,246,210,141
2018,0.26054590570719605,0.22084367245657568,0.130686517783292,0.2992565055762082,0.1821561338289963,0.1493184634448575,0.16956521739130434,0.26956521739130435,0.20434782608695654,0.3058350100603622,0.1710261569416499,0.14688128772635814,0.27547169811320754,0.16981132075471697,0.2,0.2768595041322314,0.2100550964187328,0.12534435261707988,0.28904227782571185,0.18809318377911993,0.15099223468507333,315,267,158,483,294,241,39,62,47,152,85,73,73,45,53,402,305,182,335,218,175
2019,0.2872078720787208,0.16359163591635917,0.12300123001230012,0.3242392444910808,0.14218258132214062,0.13955928646379853,0.16666666666666666,0.2765151515151515,0.1856060606060606,0.3339253996447602,0.1492007104795737,0.12966252220248667,0.288,0.128,0.2,0.29277566539923955,0.155893536121673,0.1249321021184139,0.3154459753444525,0.14213197969543148,0.14430746918056564,467,266,200,618,271,266,44,73,49,188,84,73,72,32,50,539,287,230,435,196,199
2020,0.3848684210526316,0.12828947368421054,0.11513157894736842,0.44881889763779526,0.08267716535433071,0.10236220472440945,0.2777777777777778,0.2777777777777778,0.05555555555555555,0.5384615384615384,0.08974358974358974,0.08974358974358974,0.34285714285714286,0.2,0.05714285714285714,0.34686346863468637,0.11439114391143912,0.14391143911439114,0.40331491712707185,0.08839779005524862,0.11049723756906077,117,39,35,114,21,26,5,5,1,42,7,7,12,7,2,94,31,39,73,16,20
