year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.06085753803596127,0.3748271092669433,0.20885200553250347,0.06752037252619325,0.35681024447031434,0.22933643771827705,0.0196078431372549,0.4632352941176471,0.18872549019607843,0.08641975308641975,0.3530864197530864,0.24444444444444444,0.05219206680584551,0.34029227557411273,0.26931106471816285,0.08582834331337326,0.3652694610778443,0.19760479041916168,0.05584905660377359,0.3660377358490566,0.21433962264150944,44,271,151,116,613,394,8,189,77,35,143,99,25,163,129,86,366,198,74,485,284
2011,0.07180156657963446,0.37467362924281983,0.1814621409921671,0.07123583378305451,0.37776578521316784,0.19967620075553158,0.0465587044534413,0.4230769230769231,0.22064777327935223,0.08409090909090909,0.4,0.18181818181818182,0.057971014492753624,0.3641304347826087,0.28442028985507245,0.07518796992481203,0.34116541353383456,0.18890977443609022,0.0651872399445215,0.37170596393897365,0.2087378640776699,55,287,139,132,700,370,23,209,109,37,176,80,32,201,157,80,363,201,94,536,301
2012,0.09322033898305085,0.3280871670702179,0.1937046004842615,0.08289885297184567,0.3284671532846715,0.21011470281543274,0.03571428571428571,0.38293650793650796,0.23412698412698413,0.11974789915966387,0.32563025210084034,0.2184873949579832,0.05799648506151142,0.29525483304042177,0.2759226713532513,0.09219858156028368,0.325354609929078,0.19060283687943264,0.05914343983684568,0.3310673011556764,0.22433718558803534,77,271,160,159,630,403,18,193,118,57,155,104,33,168,157,104,367,215,87,487,330
2013,0.11059907834101383,0.33064516129032256,0.18663594470046083,0.11673553719008264,0.3114669421487603,0.20454545454545456,0.027888446215139442,0.4402390438247012,0.16733067729083664,0.13279678068410464,0.30784708249496984,0.18712273641851107,0.059674502712477394,0.352622061482821,0.28390596745027125,0.11148648648648649,0.32432432432432434,0.16300675675675674,0.09053778080326753,0.31722260040844114,0.22600408441116407,96,287,162,226,603,396,14,221,84,66,153,93,33,195,157,132,384,193,133,466,332
2014,0.13288288288288289,0.30180180180180183,0.13963963963963963,0.13713980789754535,0.2822838847385272,0.1905016008537887,0.0546218487394958,0.3739495798319328,0.18277310924369747,0.1752988047808765,0.2589641434262948,0.18725099601593626,0.07692307692307693,0.3418803418803419,0.25213675213675213,0.135678391959799,0.2864321608040201,0.15577889447236182,0.1050390347764372,0.3066004258339248,0.19588360539389638,118,268,124,257,529,357,26,178,87,88,130,94,36,160,118,162,342,186,148,432,276
2015,0.1600441501103753,0.2582781456953642,0.13024282560706402,0.15575620767494355,0.268058690744921,0.16422121896162528,0.08685968819599109,0.3429844097995546,0.17817371937639198,0.2054263565891473,0.22286821705426357,0.13953488372093023,0.10540540540540541,0.32432432432432434,0.25405405405405407,0.16387959866220736,0.26755852842809363,0.1505016722408027,0.11280487804878049,0.3048780487804878,0.1875,145,234,118,276,475,291,39,154,80,106,115,72,39,120,94,196,320,180,148,400,246
2016,0.17640449438202246,0.2606741573033708,0.12247191011235956,0.18111254851228978,0.24902975420439843,0.15135834411384216,0.1329923273657289,0.2813299232736573,0.1483375959079284,0.21875,0.24166666666666667,0.12916666666666668,0.1308016877637131,0.29957805907172996,0.21940928270042195,0.18087855297157623,0.26442721791559,0.12489233419465978,0.1527403414195867,0.27583108715184185,0.1545372866127583,157,232,109,280,385,234,52,110,58,105,116,62,31,71,52,210,307,145,170,307,172
2017,0.17755102040816326,0.24081632653061225,0.11224489795918367,0.19435535599743425,0.23669018601667735,0.11353431686978832,0.071875,0.240625,0.1125,0.20084566596194503,0.19661733615221988,0.11839323467230443,0.17796610169491525,0.2796610169491525,0.16101694915254236,0.2025931928687196,0.2439222042139384,0.1053484602917342,0.1786030061892131,0.2537577365163572,0.11405835543766578,174,236,110,303,369,177,23,77,36,95,93,56,42,66,38,250,301,130,202,287,129
2018,0.1951417004048583,0.26558704453441295,0.12712550607287448,0.2146118721461187,0.23573059360730594,0.12899543378995434,0.12258064516129032,0.267741935483871,0.12903225806451613,0.2650375939849624,0.20864661654135339,0.15601503759398497,0.19140625,0.265625,0.2109375,0.21201890614449695,0.25050641458474004,0.12288993923024984,0.17633228840125392,0.26410658307210033,0.1152037617554859,241,328,157,376,413,226,38,83,40,141,111,83,49,68,54,314,371,182,225,337,147
2019,0.22451994091580502,0.22082717872968982,0.12186115214180207,0.23866213151927437,0.22789115646258504,0.12074829931972789,0.09057971014492754,0.391304347826087,0.09420289855072464,0.30228136882129275,0.16539923954372623,0.10836501901140684,0.1917808219178082,0.228310502283105,0.1872146118721461,0.2311589613679544,0.2058264724509183,0.11906269791006967,0.19968676585747847,0.2545027407987471,0.13390759592795615,304,299,165,421,402,213,25,108,26,159,87,57,42,50,41,365,325,188,255,325,171
