year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.0790273556231003,0.3890577507598784,0.2188449848024316,0.09550561797752809,0.32771535580524347,0.2397003745318352,,0.49295774647887325,0.29577464788732394,0.10404624277456648,0.31213872832369943,0.2832369942196532,0.047619047619047616,0.40476190476190477,0.25,0.10874200426439233,0.3859275053304904,0.18336886993603413,0.09358288770053476,0.34759358288770054,0.21657754010695188,26,128,72,51,175,128,,35,21,18,54,49,4,34,21,51,181,86,35,130,81
2011,0.08571428571428572,0.3342857142857143,0.19428571428571428,0.09796672828096119,0.36044362292051757,0.21256931608133087,0.05194805194805195,0.38961038961038963,0.2727272727272727,0.11458333333333333,0.3489583333333333,0.18229166666666666,0.038461538461538464,0.47435897435897434,0.2564102564102564,0.09716599190283401,0.32388663967611336,0.20647773279352227,0.08378378378378379,0.3864864864864865,0.20810810810810812,30,117,68,53,195,115,4.0,30,21,22,67,35,3,37,20,48,160,102,31,143,77
2012,0.12436548223350254,0.3248730964467005,0.18527918781725888,0.09884678747940692,0.28500823723228996,0.22405271828665568,0.06097560975609756,0.2804878048780488,0.35365853658536583,0.13100436681222707,0.27510917030567683,0.24017467248908297,0.0673076923076923,0.25,0.2692307692307692,0.12797074954296161,0.31078610603290674,0.20109689213893966,0.06467661691542288,0.3009950248756219,0.21890547263681592,49,128,73,60,173,136,5.0,23,29,30,63,55,7,26,28,70,170,110,26,121,88
2013,0.13926940639269406,0.2922374429223744,0.18493150684931506,0.15588235294117647,0.27941176470588236,0.19411764705882353,0.03333333333333333,0.5222222222222223,0.14444444444444443,0.17120622568093385,0.25680933852140075,0.1517509727626459,0.06557377049180328,0.30327868852459017,0.28688524590163933,0.12727272727272726,0.31239669421487604,0.15537190082644628,0.1334841628959276,0.29411764705882354,0.2239819004524887,61,128,81,106,190,132,3.0,47,13,44,66,39,8,37,35,77,189,94,59,130,99
2014,0.1746031746031746,0.25992063492063494,0.17063492063492064,0.19235511713933415,0.23304562268803947,0.187422934648582,0.07317073170731707,0.3821138211382114,0.2601626016260163,0.23367697594501718,0.21305841924398625,0.18213058419243985,0.07746478873239436,0.3380281690140845,0.2676056338028169,0.17180616740088106,0.24669603524229075,0.15859030837004406,0.15498154981549817,0.2564575645756458,0.1881918819188192,88,131,86,156,189,152,9.0,47,32,68,62,53,11,48,38,117,168,108,84,139,102
2015,0.2239057239057239,0.25925925925925924,0.132996632996633,0.21852237252861603,0.2351716961498439,0.1768990634755463,0.11363636363636363,0.3693181818181818,0.21022727272727273,0.25872093023255816,0.22674418604651161,0.14825581395348839,0.12418300653594772,0.29411764705882354,0.22875816993464052,0.21815889029003782,0.2648171500630517,0.15384615384615385,0.15590551181102363,0.25196850393700787,0.2031496062992126,133,154,79,210,226,170,20.0,65,37,89,78,51,19,45,35,173,210,122,99,160,129
2016,0.24511278195488723,0.25263157894736843,0.13984962406015036,0.24043179587831207,0.2365063788027478,0.15112855740922473,0.18848167539267016,0.2931937172774869,0.193717277486911,0.29775280898876405,0.21348314606741572,0.14887640449438203,0.2057142857142857,0.2742857142857143,0.17714285714285713,0.2305084745762712,0.25310734463276835,0.1367231638418079,0.2,0.25507246376811593,0.1608695652173913,163,168,93,245,241,154,36.0,56,37,106,76,53,36,48,31,204,224,121,138,176,111
2017,0.2758169934640523,0.24444444444444444,0.1084967320261438,0.3036036036036036,0.21981981981981982,0.109009009009009,0.14356435643564355,0.3712871287128713,0.14356435643564355,0.30238726790450926,0.21220159151193635,0.11405835543766578,0.32620320855614976,0.21390374331550802,0.16042780748663102,0.28846153846153844,0.23178137651821862,0.09919028340080972,0.2955145118733509,0.23087071240105542,0.10949868073878628,211,187,83,337,244,121,29.0,75,29,114,80,43,61,40,30,285,229,98,224,175,83
2018,0.3036144578313253,0.23734939759036144,0.11686746987951807,0.34720908230842007,0.18543046357615894,0.11447492904446546,0.17073170731707318,0.2865853658536585,0.1951219512195122,0.35694050991501414,0.19263456090651557,0.12181303116147309,0.30857142857142855,0.1657142857142857,0.19428571428571428,0.3142580019398642,0.2162948593598448,0.11833171677982542,0.3337856173677069,0.18317503392130258,0.11668928086838534,252,197,97,367,196,121,28.0,47,32,126,68,43,54,29,34,324,223,122,246,135,86
2019,0.3417085427135678,0.15201005025125627,0.114321608040201,0.3793859649122807,0.13706140350877194,0.11074561403508772,0.11486486486486487,0.30405405405405406,0.18243243243243243,0.4245614035087719,0.12631578947368421,0.0912280701754386,0.2892561983471074,0.15702479338842976,0.14049586776859505,0.34547346514047866,0.14776274713839752,0.11654526534859522,0.3525835866261398,0.14437689969604864,0.11854103343465046,272,121,91,346,125,101,17.0,45,27,121,36,26,35,19,17,332,142,112,232,95,78
2020,0.3939393939393939,0.16666666666666666,0.15151515151515152,0.5625,0.09375,0.125,0.4,0.6,0.0,0.6111111111111112,0.16666666666666666,0.05555555555555555,0.3,0.1,0.1,0.4,0.17333333333333334,0.18666666666666668,0.5333333333333333,0.08888888888888889,0.15555555555555556,26,11,10,36,6,8,2.0,3,0,11,3,1,3,1,1,30,13,14,24,4,7
