wos_subject,ds_subject,mag_subject,count
,,Computer science,20237
,Information and Computing Sciences,Computer science,7652
,,Engineering,6948
,,,4383
,,Medicine,4153
,,Psychology,3702
,,Mathematics,3209
"Computer Science, Information Systems",Information and Computing Sciences,Computer science,2625
,,Biology,2543
,Information and Computing Sciences,,2529
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Computer science,2433
,,Geography,1736
"Engineering, Electrical & Electronic",Information and Computing Sciences,Computer science,1351
Education & Educational Research,,,1342
,,Materials science,1334
,,Physics,1324
"Computer Science, Theory & Methods",Information and Computing Sciences,Computer science,1290
,Mathematical Sciences,Mathematics,1013
"Computer Science, Hardware & Architecture",Information and Computing Sciences,Computer science,972
,Engineering,,960
Neurosciences,Medical and Health Sciences,Psychology,959
"Mathematics, Applied",Mathematical Sciences,Mathematics,898
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Mathematics,893
,Information and Computing Sciences,Mathematics,876
,Information and Computing Sciences,Engineering,811
Neurosciences,Medical and Health Sciences,Biology,780
,,Sociology,768
,,Chemistry,741
,,Business,739
,Mathematical Sciences,Computer science,730
Biochemistry & Molecular Biology,Biological Sciences,Biology,719
,,Geology,710
Automation & Control Systems,Information and Computing Sciences,Computer science,680
"Computer Science, Interdisciplinary Applications",Information and Computing Sciences,Computer science,674
Neurosciences,,Psychology,663
,,Economics,660
,,Environmental science,640
"Computer Science, Software Engineering",Information and Computing Sciences,Computer science,628
Multidisciplinary Sciences,Biological Sciences,Biology,601
,Engineering,Computer science,590
Oncology,,Medicine,580
,Biological Sciences,Biology,577
"Computer Science, Artificial Intelligence",,Computer science,569
"Computer Science, Information Systems",,Computer science,562
,Mathematical Sciences,,523
Education & Educational Research,,Psychology,518
,Engineering,Engineering,512
,,Political science,507
Behavioral Sciences,,Psychology,501
"Computer Science, Artificial Intelligence",,,469
"Engineering, Electrical & Electronic",Engineering,Engineering,459
Optics,,Physics,448
"Engineering, Electrical & Electronic",,Computer science,429
"Computer Science, Artificial Intelligence",Mathematical Sciences,Computer science,428
"Computer Science, Artificial Intelligence",,Mathematics,418
"Computer Science, Information Systems",,,415
Ecology,,Biology,404
,Medical and Health Sciences,,402
Behavioral Sciences,Medical and Health Sciences,Psychology,394
,Technology,Computer science,377
"Chemistry, Analytical",,Chemistry,377
Multidisciplinary Sciences,,Biology,365
"Radiology, Nuclear Medicine & Medical Imaging",,Medicine,362
Automation & Control Systems,Mathematical Sciences,Mathematics,360
,Biological Sciences,,354
Biochemical Research Methods,Biological Sciences,Biology,354
"Engineering, Electrical & Electronic",,,341
Clinical Neurology,Medical and Health Sciences,Medicine,339
,Engineering,Materials science,335
"Chemistry, Multidisciplinary",,Chemistry,332
"Computer Science, Interdisciplinary Applications",,Computer science,328
Immunology,,Biology,321
"Engineering, Electrical & Electronic",Engineering,Computer science,320
"Computer Science, Theory & Methods",,Computer science,318
"Engineering, Multidisciplinary",,,318
"Engineering, Electrical & Electronic",,Physics,297
,Medical and Health Sciences,Psychology,296
"Geosciences, Multidisciplinary",,Geology,296
,Engineering;Information and Computing Sciences,Computer science,289
,Medical and Health Sciences,Biology,286
"Psychology, Multidisciplinary",,Psychology,285
Education & Educational Research,,Computer science,281
"Public, Environmental & Occupational Health",,Medicine,280
Multidisciplinary Sciences,,,269
Biotechnology & Applied Microbiology,Biological Sciences,Biology,269
Automation & Control Systems,Mathematical Sciences,Computer science,268
Automation & Control Systems,,Computer science,267
Plant Sciences,Biological Sciences,Biology,266
"Materials Science, Multidisciplinary",Engineering,Materials science,263
"Chemistry, Physical",,Chemistry,261
Biochemistry & Molecular Biology,,Biology,261
Automation & Control Systems,,,260
"Engineering, Electrical & Electronic",Information and Computing Sciences,Engineering,260
"Engineering, Chemical",Engineering,Chemistry,260
"Computer Science, Interdisciplinary Applications",,,257
Genetics & Heredity,Biological Sciences,Biology,257
,Information and Computing Sciences;Technology,Computer science,256
"Engineering, Electrical & Electronic",,Engineering,254
"Chemistry, Analytical",Engineering,Engineering,252
Environmental Sciences,,Chemistry,251
"Engineering, Civil",Engineering,Engineering,245
Biodiversity Conservation,,Biology,245
Astronomy & Astrophysics,,Physics,244
"Computer Science, Theory & Methods",,,244
Oncology,,Biology,244
"Mathematics, Applied",,Mathematics,240
