wos_subject,ds_subject,mag_subject,count
,,Computer science,155142
,,Medicine,131273
,,Engineering,80456
,,,73808
,Information and Computing Sciences,Computer science,65478
,,Psychology,51755
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Computer science,40143
,,Mathematics,38845
,,Chemistry,34200
,,Biology,30988
,,Materials science,26806
,,Geography,18956
,Information and Computing Sciences,,18460
"Computer Science, Information Systems",Information and Computing Sciences,Computer science,15580
,,Environmental science,14986
"Engineering, Electrical & Electronic",Information and Computing Sciences,Computer science,13764
"Computer Science, Artificial Intelligence",,Computer science,13438
,,Geology,12843
,,Sociology,11999
,Information and Computing Sciences,Engineering,10487
Automation & Control Systems,Information and Computing Sciences,Computer science,10140
"Computer Science, Theory & Methods",Information and Computing Sciences,Computer science,8256
,Information and Computing Sciences,Mathematics,8130
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Mathematics,7568
"Computer Science, Artificial Intelligence",,,7499
,,Political science,7080
Automation & Control Systems,Information and Computing Sciences,Engineering,6379
,,Business,5884
,,Physics,5713
"Computer Science, Software Engineering",Information and Computing Sciences,Computer science,5501
,Engineering,,5395
,,Art,5279
,,Economics,4822
,Mathematical Sciences,Mathematics,4748
,Medical and Health Sciences,,4646
Oncology,,Medicine,4438
,Mathematical Sciences,Computer science,4423
,,History,4323
"Computer Science, Interdisciplinary Applications",Information and Computing Sciences,Computer science,4082
,Medical and Health Sciences,Medicine,4044
,,Philosophy,4038
"Computer Science, Information Systems",,Computer science,3915
Education & Educational Research,,,3719
"Computer Science, Hardware & Architecture",Information and Computing Sciences,Computer science,3554
"Engineering, Electrical & Electronic",,Computer science,3552
,Engineering,Computer science,3527
Linguistics,,Psychology,3475
"Radiology, Nuclear Medicine & Medical Imaging",,Medicine,3218
Linguistics,,,3143
Automation & Control Systems,,,3024
Neurosciences,,Psychology,2995
"Psychology, Experimental",,Psychology,2902
Clinical Neurology,,Medicine,2890
,Engineering,Engineering,2879
Education & Educational Research,,Psychology,2850
"Computer Science, Artificial Intelligence",Information and Computing Sciences,,2820
,Biological Sciences,,2768
"Engineering, Biomedical",Information and Computing Sciences,Computer science,2749
"Computer Science, Artificial Intelligence",,Mathematics,2695
Clinical Neurology,Medical and Health Sciences,Medicine,2694
Surgery,,Medicine,2687
"Computer Science, Artificial Intelligence",Mathematical Sciences,Computer science,2686
"Computer Science, Theory & Methods",,Computer science,2656
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Engineering,2601
"Psychology, Multidisciplinary",,Psychology,2561
"Computer Science, Cybernetics",Information and Computing Sciences,Computer science,2545
,Mathematical Sciences,,2509
Language & Linguistics,,,2478
Robotics,Information and Computing Sciences,Computer science,2449
Automation & Control Systems,,Computer science,2369
"Engineering, Electrical & Electronic",Information and Computing Sciences,Engineering,2253
"Engineering, Electrical & Electronic",,,2177
Robotics,Information and Computing Sciences,Engineering,2169
Acoustics,Information and Computing Sciences,Computer science,2155
Automation & Control Systems,Engineering,Engineering,2027
"Computer Science, Information Systems",,,2013
Neurosciences,Medical and Health Sciences,Psychology,1992
"Engineering, Electrical & Electronic",Information and Computing Sciences,Mathematics,1967
Optics,,Physics,1875
"Medicine, General & Internal",,Medicine,1870
"Computer Science, Interdisciplinary Applications",,Computer science,1817
Linguistics,,Computer science,1780
"Medicine, General & Internal",,,1764
Urology & Nephrology,,Medicine,1762
Philosophy,,,1737
"Psychology, Developmental",,Psychology,1705
"Chemistry, Analytical",Engineering,Engineering,1661
Philosophy,,Philosophy,1628
"Dentistry, Oral Surgery & Medicine",,Medicine,1610
Automation & Control Systems,,Engineering,1605
"Engineering, Electrical & Electronic",,Mathematics,1593
